Exercício,Dedo,Ângulos obtidos
Adução/Abdução,Indicador,
Adução/Abdução,Médio,
Adução/Abdução,Anelar,
Adução/Abdução,Mindinho,
Extensão,Indicador,
Exercício,Dedo,Ângulos obtidos
Adução/Abdução,Indicador,4.33566992201063;4.1031254660181;4.20770547769773;4.73619263068144;
Adução/Abdução,Médio,5.08203113883156;7.29498077870985;4.6534107402445;6.21517400475609;
Adução/Abdução,Anelar,4.11385057026386;5.59327846794308;4.21356620672933;4.00237590969579;
Adução/Abdução,Mindinho,3.64421830194672;4.67818084746708;4.67885105976074;4.86441704906239;
Extensão,Indicador,
Exercício,Dedo,Ângulos obtidos
Adução/Abdução,Indicador,
Adução/Abdução,Médio,
Adução/Abdução,Anelar,
Adução/Abdução,Mindinho,
Extensão,Indicador,6.92566819169609;15.066249418011;17.9670511683607;4.06086836745962;

