Exercício,Dedo,Ângulos obtidos
Adução/Abdução,Indicador,19.98(indicador)-21.99(médio);9.81(indicador)-12.23(médio);10.16(indicador)-14.05(médio);8.56(indicador)-12.71(médio);8.76(indicador)-11.25(médio);
Adução/Abdução,Médio,8.20(palma)--0.20(médio);9.42(palma)--1.20(médio);8.22(palma)--1.06(médio);8.66(palma)-0.69(médio);8.02(palma)-2.53(médio);
Adução/Abdução,Anelar,8.02(palma) - 3.42(metacarpo);8.25(palma) - 5.99(metacarpo);8.22(palma) - 2.84(metacarpo);9.71(palma) - 4.78(metacarpo);8.08(palma) - 9.14(metacarpo);
Adução/Abdução,Mindinho,10.08(metacarpo mindinho)-4.34(palma);9.79(metacarpo mindinho)-1.86(palma);9.64(metacarpo mindinho)-2.41(palma);8.35(metacarpo mindinho)-0.77(palma);8.78(metacarpo mindinho)-1.41(palma);
Extensão,Indicador,9.15(normal da palma) - (projeção vetorial): 9.92;8.27(normal da palma) - (projeção vetorial): 8.35;9.10(normal da palma) - (projeção vetorial): 10.81;8.68(normal da palma) - (projeção vetorial): 8.85;
Extensão,Médio,8.28;8.10;8.16;8.68;
Extensão,Anelar,8.50;8.01;8.38;9.14;
Extensão,Mindinho,9.46;8.00;8.45;11.99;
Pinça,Indicador,52.62;47.94;44.59;55.27;1.02;67.65;83.21;70.74;28.61;69.52;88.27;61.83;44.71;70.04;51.44;41.72;54.38;55.27;56.08;59.58;
Pinça,Médio,64.33;65.08;61.88;57.58;
Pinça,Anelar,58.98;54.70;60.52;57.64;
Pinça,Mindinho,56.62;28.00;30.44;24.96;

